Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 21, 2019","1,248.70","1,253.51","1,248.56","1,250.66","1,250.66","67,402"
"Oct 18, 2019","1,254.69","1,258.11","1,240.14","1,244.41","1,244.41","1,581,200"
"Oct 17, 2019","1,251.40","1,263.75","1,249.87","1,252.80","1,252.80","1,047,900"
"Oct 16, 2019","1,241.81","1,254.19","1,238.53","1,243.00","1,243.00","1,149,300"
"Oct 15, 2019","1,221.50","1,247.13","1,220.92","1,242.24","1,242.24","1,379,200"
"Oct 14, 2019","1,213.89","1,225.88","1,211.88","1,217.77","1,217.77","664,800"
"Oct 11, 2019","1,224.03","1,228.75","1,213.64","1,215.71","1,215.71","1,116,500"
"Oct 10, 2019","1,198.60","1,215.62","1,197.86","1,209.47","1,209.47","642,100"
"Oct 09, 2019","1,201.33","1,208.46","1,198.12","1,202.40","1,202.40","797,400"
"Oct 08, 2019","1,198.77","1,206.87","1,189.48","1,190.13","1,190.13","1,004,300"
"Oct 07, 2019","1,207.00","1,218.91","1,204.36","1,208.25","1,208.25","852,000"
"Oct 04, 2019","1,194.29","1,212.46","1,190.97","1,210.96","1,210.96","1,214,100"
"Oct 03, 2019","1,183.34","1,191.00","1,163.14","1,189.43","1,189.43","1,418,400"
"Oct 02, 2019","1,196.50","1,198.76","1,172.63","1,177.92","1,177.92","1,651,500"
"Oct 01, 2019","1,222.49","1,232.86","1,205.55","1,206.00","1,206.00","1,225,200"
"Sep 30, 2019","1,220.60","1,227.41","1,213.42","1,221.14","1,221.14","1,223,500"
"Sep 27, 2019","1,242.83","1,244.99","1,215.20","1,225.95","1,225.95","1,706,100"
"Sep 26, 2019","1,242.14","1,244.67","1,231.82","1,242.29","1,242.29","1,158,300"
"Sep 25, 2019","1,216.01","1,248.02","1,209.20","1,245.94","1,245.94","1,339,900"
"Sep 24, 2019","1,240.00","1,247.11","1,210.64","1,218.33","1,218.33","1,790,200"
"Sep 23, 2019","1,226.57","1,239.68","1,223.78","1,234.69","1,234.69","1,039,900"
"Sep 20, 2019","1,233.64","1,242.80","1,223.58","1,229.84","1,229.84","1,884,600"
"Sep 19, 2019","1,232.32","1,244.34","1,232.31","1,238.75","1,238.75","827,700"
"Sep 18, 2019","1,230.24","1,236.24","1,216.47","1,232.65","1,232.65","872,000"
"Sep 17, 2019","1,231.63","1,235.00","1,223.35","1,229.88","1,229.88","1,040,300"
"Sep 16, 2019","1,230.44","1,239.02","1,225.19","1,231.63","1,231.63","1,410,900"
"Sep 13, 2019","1,232.11","1,241.05","1,227.08","1,240.03","1,240.03","1,183,800"
"Sep 12, 2019","1,223.47","1,242.42","1,222.56","1,234.97","1,234.97","1,582,200"
"Sep 11, 2019","1,203.89","1,222.47","1,202.28","1,220.00","1,220.00","1,176,100"
"Sep 10, 2019","1,196.09","1,210.00","1,196.01","1,205.70","1,205.70","1,396,100"
"Sep 09, 2019","1,207.08","1,220.55","1,193.17","1,205.27","1,205.27","1,592,700"
"Sep 06, 2019","1,209.14","1,212.95","1,203.26","1,206.32","1,206.32","948,600"
"Sep 05, 2019","1,193.66","1,214.00","1,192.69","1,212.19","1,212.19","1,319,700"
"Sep 04, 2019","1,179.45","1,184.88","1,171.53","1,182.27","1,182.27","1,065,600"
"Sep 03, 2019","1,181.85","1,189.08","1,163.71","1,169.55","1,169.55","1,295,400"
"Aug 30, 2019","1,200.35","1,200.35","1,185.72","1,190.53","1,190.53","903,200"
"Aug 29, 2019","1,186.42","1,199.19","1,185.28","1,194.24","1,194.24","981,800"
"Aug 28, 2019","1,164.87","1,178.50","1,160.25","1,173.75","1,173.75","840,500"
"Aug 27, 2019","1,183.00","1,185.00","1,164.56","1,170.82","1,170.82","1,173,000"
"Aug 26, 2019","1,159.45","1,171.86","1,154.85","1,171.18","1,171.18","1,058,300"
"Aug 23, 2019","1,185.17","1,195.67","1,150.00","1,153.58","1,153.58","1,812,700"
"Aug 22, 2019","1,193.80","1,198.78","1,178.91","1,191.52","1,191.52","867,600"
"Aug 21, 2019","1,195.82","1,200.56","1,187.92","1,191.58","1,191.58","707,600"
"Aug 20, 2019","1,195.35","1,198.00","1,183.05","1,183.53","1,183.53","1,010,300"
"Aug 19, 2019","1,191.83","1,209.39","1,190.40","1,200.44","1,200.44","1,222,500"
"Aug 16, 2019","1,180.79","1,183.84","1,173.00","1,179.21","1,179.21","1,245,800"
"Aug 15, 2019","1,168.43","1,176.42","1,163.00","1,169.32","1,169.32","1,425,300"
